ts_code,trade_date,name,open,high,low,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801092.SI,20250320,汽车服务,521.22,536.61,518.94,527.27,8.08,1.56,25461.0,153951.0,69.68,1.98,2948947.0,6793978.0
801092.SI,20250321,汽车服务,528.93,532.8,510.69,513.67,-13.6,-2.58,28189.0,170934.0,67.85,1.93,2872900.0,6630365.0
801092.SI,20250324,汽车服务,511.07,514.73,487.48,496.5,-17.17,-3.34,26234.0,149724.0,65.55,1.86,2776847.0,6455551.0
801092.SI,20250325,汽车服务,496.2,500.72,487.23,492.12,-4.38,-0.88,16496.0,88071.0,64.91,1.84,2752342.0,6410147.0
801092.SI,20250326,汽车服务,491.53,507.48,490.09,501.52,9.41,1.91,19637.0,111646.0,66.15,1.88,2804965.0,6542678.0
801092.SI,20250327,汽车服务,499.28,505.02,490.52,496.12,-5.4,-1.08,16669.0,96912.0,65.45,1.86,2774762.0,6484527.0
801092.SI,20250328,汽车服务,494.81,498.39,485.85,488.04,-8.08,-1.63,14760.0,80644.0,65.0,1.83,2729565.0,6395691.0
801092.SI,20250331,汽车服务,487.48,491.21,475.38,482.66,-5.39,-1.1,17802.0,93947.0,59.94,1.8,2699443.0,6331738.0
801092.SI,20250401,汽车服务,482.37,490.43,478.98,484.17,1.51,0.31,14987.0,85039.0,60.06,1.8,2707893.0,6372223.0
801092.SI,20250402,汽车服务,483.75,496.72,479.95,490.09,5.92,1.22,12902.0,86865.0,60.85,1.84,2741010.0,6458500.0
801092.SI,20250403,汽车服务,485.33,491.94,476.53,482.45,-7.64,-1.56,13754.0,86957.0,59.85,1.81,2698281.0,6353803.0
801092.SI,20250407,汽车服务,452.68,461.0,423.89,426.84,-55.61,-11.53,20359.0,113363.0,53.12,1.6,2387242.0,5650833.0
801092.SI,20250408,汽车服务,425.96,435.31,410.24,423.1,-3.73,-0.87,22116.0,107834.0,52.53,1.58,2366368.0,5615031.0
801092.SI,20250409,汽车服务,416.06,439.58,394.54,435.6,12.5,2.95,22573.0,109561.0,53.48,1.65,2414450.0,5779490.0
801092.SI,20250410,汽车服务,443.78,455.65,437.64,444.9,9.3,2.14,17258.0,90896.0,54.7,1.69,2465273.0,5871821.0
801092.SI,20250411,汽车服务,441.27,459.13,439.13,449.53,4.63,1.04,18655.0,104619.0,55.33,1.71,2490907.0,5935482.0
801092.SI,20250414,汽车服务,453.05,463.09,447.65,454.82,5.29,1.18,17570.0,91002.0,55.97,1.72,2519613.0,5988527.0
801092.SI,20250415,汽车服务,455.56,459.7,447.13,452.89,-1.93,-0.42,11952.0,67445.0,55.7,1.72,2508265.0,5965066.0
801092.SI,20250416,汽车服务,451.81,456.16,438.72,446.89,-6.0,-1.33,13523.0,72037.0,55.26,1.69,2474464.0,5890485.0
801092.SI,20250417,汽车服务,445.89,458.87,442.2,451.67,4.78,1.07,10117.0,66668.0,55.85,1.71,2500906.0,5968611.0
801092.SI,20250418,汽车服务,452.49,463.48,449.47,458.28,6.61,1.46,13211.0,79496.0,56.71,1.74,2537528.0,6060146.0
801092.SI,20250421,汽车服务,456.95,464.96,452.79,461.9,3.62,0.79,11317.0,66241.0,57.16,1.77,2557559.0,6100614.0
801092.SI,20250422,汽车服务,462.22,473.46,460.48,467.1,5.2,1.13,16663.0,108956.0,57.84,1.79,2586342.0,6164575.0
801092.SI,20250423,汽车服务,469.83,478.13,464.5,471.48,4.38,0.94,19424.0,116875.0,58.25,1.81,2610608.0,6231192.0
801092.SI,20250424,汽车服务,471.05,478.17,463.02,465.94,-5.53,-1.17,15168.0,82589.0,57.6,1.77,2579971.0,6170448.0
801092.SI,20250425,汽车服务,468.72,476.69,461.89,470.95,5.01,1.07,15862.0,95627.0,49.61,1.8,2607697.0,6230786.0
801092.SI,20250428,汽车服务,469.41,478.12,459.98,467.85,-3.11,-0.66,19035.0,134946.0,50.45,1.77,2590497.0,6186182.0
801092.SI,20250429,汽车服务,464.76,476.75,460.44,470.29,2.44,0.52,18199.0,127421.0,50.69,1.77,2604009.0,6216176.0
801092.SI,20250430,汽车服务,471.19,479.81,466.22,474.06,3.78,0.8,18690.0,118457.0,51.1,1.79,2624932.0,6239778.0
801092.SI,20250506,汽车服务,476.83,485.66,473.45,482.35,8.29,1.75,19030.0,121307.0,49.85,1.82,2670811.0,6341290.0
801092.SI,20250507,汽车服务,486.63,499.46,477.69,482.58,0.23,0.05,27261.0,154517.0,49.85,1.82,2672092.0,6346185.0
801092.SI,20250508,汽车服务,480.4,491.45,478.15,487.99,5.41,1.12,23616.0,129918.0,50.28,1.84,2702058.0,6421091.0
801092.SI,20250509,汽车服务,487.36,489.94,475.9,478.34,-9.65,-1.98,16728.0,100191.0,49.23,1.8,2648604.0,6305700.0
